image,track_status,height_ratio,white_x,yellow_x,center_x
1575_cam_image_array_.jpg,selected,0.9,148.0,17.5,82.75
1575_cam_image_array_.jpg,selected,0.85,142.0,17.0,79.5
1575_cam_image_array_.jpg,selected,0.8,136.5,20.5,78.5
1575_cam_image_array_.jpg,selected,0.75,130.0,25.5,77.75
1575_cam_image_array_.jpg,selected,0.7,123.5,,
1575_cam_image_array_.jpg,selected,0.65,117.0,38.5,77.75
1575_cam_image_array_.jpg,selected,0.6,122.5,41.0,81.75
1575_cam_image_array_.jpg,selected,0.55,119.0,49.0,84.0
1635_cam_image_array_.jpg,selected,0.9,153.0,,
1635_cam_image_array_.jpg,selected,0.85,148.5,,
1635_cam_image_array_.jpg,selected,0.8,143.5,36.0,89.75
1635_cam_image_array_.jpg,selected,0.75,138.0,36.0,87.0
1635_cam_image_array_.jpg,selected,0.7,132.0,41.5,86.75
1635_cam_image_array_.jpg,selected,0.65,127.0,43.0,85.0
1635_cam_image_array_.jpg,selected,0.6,119.5,53.5,86.5
1635_cam_image_array_.jpg,selected,0.55,114.5,56.0,85.25
1696_cam_image_array_.jpg,selected,0.9,156.5,,
1696_cam_image_array_.jpg,selected,0.85,154.0,36.5,95.25
1696_cam_image_array_.jpg,selected,0.8,148.5,36.5,92.5
1696_cam_image_array_.jpg,selected,0.75,143.0,41.5,92.25
1696_cam_image_array_.jpg,selected,0.7,136.5,45.0,90.75
1696_cam_image_array_.jpg,selected,0.65,130.5,,
1696_cam_image_array_.jpg,selected,0.6,123.0,58.5,90.75
1696_cam_image_array_.jpg,selected,0.55,116.5,59.5,88.0
1757_cam_image_array_.jpg,selected,0.9,147.5,,
1757_cam_image_array_.jpg,selected,0.85,140.0,10.0,75.0
1757_cam_image_array_.jpg,selected,0.8,131.5,13.5,72.5
1757_cam_image_array_.jpg,selected,0.75,123.0,14.5,68.75
1757_cam_image_array_.jpg,selected,0.7,113.5,,
1757_cam_image_array_.jpg,selected,0.65,103.0,21.0,62.0
1757_cam_image_array_.jpg,selected,0.6,93.0,21.5,57.25
1757_cam_image_array_.jpg,selected,0.55,85.5,23.0,54.25
1817_cam_image_array_.jpg,selected,0.9,144.0,8.5,76.25
1817_cam_image_array_.jpg,selected,0.85,139.0,9.5,74.25
1817_cam_image_array_.jpg,selected,0.8,133.5,,
1817_cam_image_array_.jpg,selected,0.75,127.5,,
1817_cam_image_array_.jpg,selected,0.7,121.0,27.5,74.25
1817_cam_image_array_.jpg,selected,0.65,113.5,30.0,71.75
1817_cam_image_array_.jpg,selected,0.6,105.5,,
1817_cam_image_array_.jpg,selected,0.55,98.0,38.5,68.25
1878_cam_image_array_.jpg,selected,0.9,153.5,,
1878_cam_image_array_.jpg,selected,0.85,149.0,25.0,87.0
1878_cam_image_array_.jpg,selected,0.8,142.0,22.5,82.25
1878_cam_image_array_.jpg,selected,0.75,133.5,25.5,79.5
1878_cam_image_array_.jpg,selected,0.7,124.5,26.5,75.5
1878_cam_image_array_.jpg,selected,0.65,115.0,,
1878_cam_image_array_.jpg,selected,0.6,104.0,32.5,68.25
1878_cam_image_array_.jpg,selected,0.55,96.5,34.5,65.5
1938_cam_image_array_.jpg,selected,0.9,148.0,12.5,80.25
1938_cam_image_array_.jpg,selected,0.85,143.0,13.0,78.0
1938_cam_image_array_.jpg,selected,0.8,135.5,16.5,76.0
1938_cam_image_array_.jpg,selected,0.75,128.0,19.0,73.5
1938_cam_image_array_.jpg,selected,0.7,120.5,,
1938_cam_image_array_.jpg,selected,0.65,112.0,29.5,70.75
1938_cam_image_array_.jpg,selected,0.6,102.0,30.5,66.25
1938_cam_image_array_.jpg,selected,0.55,93.5,30.0,61.75
1999_cam_image_array_.jpg,selected,0.9,136.0,5.5,70.75
1999_cam_image_array_.jpg,selected,0.85,132.0,8.5,70.25
1999_cam_image_array_.jpg,selected,0.8,127.5,13.0,70.25
1999_cam_image_array_.jpg,selected,0.75,123.0,16.5,69.75
1999_cam_image_array_.jpg,selected,0.7,118.5,1.0,59.75
1999_cam_image_array_.jpg,selected,0.65,114.0,33.5,73.75
1999_cam_image_array_.jpg,selected,0.6,109.0,39.0,74.0
1999_cam_image_array_.jpg,selected,0.55,105.0,49.0,77.0
2059_cam_image_array_.jpg,selected,0.9,150.0,20.0,85.0
2059_cam_image_array_.jpg,selected,0.85,146.5,21.5,84.0
2059_cam_image_array_.jpg,selected,0.8,141.0,25.0,83.0
2059_cam_image_array_.jpg,selected,0.75,136.0,29.5,82.75
2059_cam_image_array_.jpg,selected,0.7,129.5,28.5,79.0
2059_cam_image_array_.jpg,selected,0.65,123.0,45.0,84.0
2059_cam_image_array_.jpg,selected,0.6,,,
2059_cam_image_array_.jpg,selected,0.55,111.0,,
2120_cam_image_array_.jpg,selected,0.9,146.0,,
2120_cam_image_array_.jpg,selected,0.85,139.5,11.5,75.5
2120_cam_image_array_.jpg,selected,0.8,132.5,14.5,73.5
2120_cam_image_array_.jpg,selected,0.75,125.0,15.5,70.25
2120_cam_image_array_.jpg,selected,0.7,117.0,,
2120_cam_image_array_.jpg,selected,0.65,108.5,24.5,66.5
2120_cam_image_array_.jpg,selected,0.6,99.5,26.5,63.0
2120_cam_image_array_.jpg,selected,0.55,91.5,30.5,61.0
2181_cam_image_array_.jpg,selected,0.9,150.0,,
2181_cam_image_array_.jpg,selected,0.85,142.5,,
2181_cam_image_array_.jpg,selected,0.8,135.5,21.0,78.25
2181_cam_image_array_.jpg,selected,0.75,127.5,22.0,74.75
2181_cam_image_array_.jpg,selected,0.7,120.0,25.0,72.5
2181_cam_image_array_.jpg,selected,0.65,111.5,25.0,68.25
2181_cam_image_array_.jpg,selected,0.6,102.0,30.5,66.25
2181_cam_image_array_.jpg,selected,0.55,93.5,31.5,62.5
2241_cam_image_array_.jpg,selected,0.9,153.5,,
2241_cam_image_array_.jpg,selected,0.85,149.0,,
2241_cam_image_array_.jpg,selected,0.8,142.5,,
2241_cam_image_array_.jpg,selected,0.75,135.0,32.5,83.75
2241_cam_image_array_.jpg,selected,0.7,126.5,33.0,79.75
2241_cam_image_array_.jpg,selected,0.65,118.0,35.5,76.75
2241_cam_image_array_.jpg,selected,0.6,108.5,,
2241_cam_image_array_.jpg,selected,0.55,99.5,37.0,68.25
2302_cam_image_array_.jpg,selected,0.9,129.5,2.0,65.75
2302_cam_image_array_.jpg,selected,0.85,124.0,2.5,63.25
2302_cam_image_array_.jpg,selected,0.8,118.5,,
2302_cam_image_array_.jpg,selected,0.75,112.5,,
2302_cam_image_array_.jpg,selected,0.7,106.0,16.0,61.0
2302_cam_image_array_.jpg,selected,0.65,100.5,20.5,60.5
2302_cam_image_array_.jpg,selected,0.6,94.5,30.5,62.5
2302_cam_image_array_.jpg,selected,0.55,89.5,33.0,61.25
2362_cam_image_array_.jpg,selected,0.9,144.5,12.0,78.25
2362_cam_image_array_.jpg,selected,0.85,140.0,14.5,77.25
2362_cam_image_array_.jpg,selected,0.8,135.0,20.5,77.75
2362_cam_image_array_.jpg,selected,0.75,130.5,22.0,76.25
2362_cam_image_array_.jpg,selected,0.7,126.0,,
2362_cam_image_array_.jpg,selected,0.65,120.5,41.5,81.0
2362_cam_image_array_.jpg,selected,0.6,115.5,45.5,80.5
2362_cam_image_array_.jpg,selected,0.55,110.5,54.5,82.5
2423_cam_image_array_.jpg,selected,0.9,155.0,,
2423_cam_image_array_.jpg,selected,0.85,151.5,,
2423_cam_image_array_.jpg,selected,0.8,146.5,,
2423_cam_image_array_.jpg,selected,0.75,141.0,41.5,91.25
2423_cam_image_array_.jpg,selected,0.7,134.5,45.0,89.75
2423_cam_image_array_.jpg,selected,0.65,128.0,47.5,87.75
2423_cam_image_array_.jpg,selected,0.6,119.5,51.5,85.5
2423_cam_image_array_.jpg,selected,0.55,112.5,52.5,82.5
2484_cam_image_array_.jpg,selected,0.9,156.0,23.0,89.5
2484_cam_image_array_.jpg,selected,0.85,153.0,26.0,89.5
2484_cam_image_array_.jpg,selected,0.8,146.5,28.0,87.25
2484_cam_image_array_.jpg,selected,0.75,139.0,31.0,85.0
2484_cam_image_array_.jpg,selected,0.7,131.5,,
2484_cam_image_array_.jpg,selected,0.65,121.5,38.5,80.0
2484_cam_image_array_.jpg,selected,0.6,112.0,40.0,76.0
2484_cam_image_array_.jpg,selected,0.55,102.5,,
2544_cam_image_array_.jpg,selected,0.9,130.5,,
2544_cam_image_array_.jpg,selected,0.85,124.0,,
2544_cam_image_array_.jpg,selected,0.8,118.0,,
2544_cam_image_array_.jpg,selected,0.75,111.5,11.5,61.5
2544_cam_image_array_.jpg,selected,0.7,104.5,15.0,59.75
2544_cam_image_array_.jpg,selected,0.65,98.0,18.0,58.0
2544_cam_image_array_.jpg,selected,0.6,90.5,23.5,57.0
2544_cam_image_array_.jpg,selected,0.55,84.0,26.5,55.25
2605_cam_image_array_.jpg,selected,0.9,144.5,,
2605_cam_image_array_.jpg,selected,0.85,139.0,10.5,74.75
2605_cam_image_array_.jpg,selected,0.8,132.5,,
2605_cam_image_array_.jpg,selected,0.75,124.5,,
2605_cam_image_array_.jpg,selected,0.7,115.0,21.0,68.0
2605_cam_image_array_.jpg,selected,0.65,106.0,24.0,65.0
2605_cam_image_array_.jpg,selected,0.6,98.5,,
2605_cam_image_array_.jpg,selected,0.55,91.5,,
2665_cam_image_array_.jpg,selected,0.9,,,
2665_cam_image_array_.jpg,selected,0.85,156.0,,
2665_cam_image_array_.jpg,selected,0.8,153.0,,
2665_cam_image_array_.jpg,selected,0.75,145.5,40.5,93.0
2665_cam_image_array_.jpg,selected,0.7,138.5,43.5,91.0
2665_cam_image_array_.jpg,selected,0.65,158.0,45.5,101.75
2665_cam_image_array_.jpg,selected,0.6,154.0,48.0,101.0
2665_cam_image_array_.jpg,selected,0.55,151.5,49.0,100.25
2726_cam_image_array_.jpg,selected,0.9,151.5,,
2726_cam_image_array_.jpg,selected,0.85,144.0,,
2726_cam_image_array_.jpg,selected,0.8,134.5,,
2726_cam_image_array_.jpg,selected,0.75,125.0,18.0,71.5
2726_cam_image_array_.jpg,selected,0.7,115.5,20.5,68.0
2726_cam_image_array_.jpg,selected,0.65,105.0,24.5,64.75
2726_cam_image_array_.jpg,selected,0.6,95.0,27.0,61.0
2726_cam_image_array_.jpg,selected,0.55,86.0,27.0,56.5
2787_cam_image_array_.jpg,selected,0.9,144.0,12.0,78.0
2787_cam_image_array_.jpg,selected,0.85,138.0,14.5,76.25
2787_cam_image_array_.jpg,selected,0.8,131.5,,
2787_cam_image_array_.jpg,selected,0.75,124.5,18.5,71.5
2787_cam_image_array_.jpg,selected,0.7,117.5,,
2787_cam_image_array_.jpg,selected,0.65,109.5,26.0,67.75
2787_cam_image_array_.jpg,selected,0.6,101.0,27.5,64.25
2787_cam_image_array_.jpg,selected,0.55,91.5,,
2847_cam_image_array_.jpg,selected,0.9,150.0,,
2847_cam_image_array_.jpg,selected,0.85,143.5,,
2847_cam_image_array_.jpg,selected,0.8,136.5,,
2847_cam_image_array_.jpg,selected,0.75,129.0,25.0,77.0
2847_cam_image_array_.jpg,selected,0.7,121.0,26.5,73.75
2847_cam_image_array_.jpg,selected,0.65,113.0,30.0,71.5
2847_cam_image_array_.jpg,selected,0.6,105.0,37.0,71.0
2847_cam_image_array_.jpg,selected,0.55,98.0,39.0,68.5
2908_cam_image_array_.jpg,selected,0.9,157.0,,
2908_cam_image_array_.jpg,selected,0.85,154.5,40.5,97.5
2908_cam_image_array_.jpg,selected,0.8,149.5,40.0,94.75
2908_cam_image_array_.jpg,selected,0.75,144.5,45.0,94.75
2908_cam_image_array_.jpg,selected,0.7,146.0,46.0,96.0
2908_cam_image_array_.jpg,selected,0.65,,,
2908_cam_image_array_.jpg,selected,0.6,,,
2908_cam_image_array_.jpg,selected,0.55,,,
2968_cam_image_array_.jpg,no_track,0.9,,,
2968_cam_image_array_.jpg,no_track,0.85,,,
2968_cam_image_array_.jpg,no_track,0.8,,,
2968_cam_image_array_.jpg,no_track,0.75,,,
2968_cam_image_array_.jpg,no_track,0.7,,,
2968_cam_image_array_.jpg,no_track,0.65,,,
2968_cam_image_array_.jpg,no_track,0.6,,,
2968_cam_image_array_.jpg,no_track,0.55,,,
3029_cam_image_array_.jpg,selected,0.9,150.5,,
3029_cam_image_array_.jpg,selected,0.85,143.0,9.5,76.25
3029_cam_image_array_.jpg,selected,0.8,134.5,12.0,73.25
3029_cam_image_array_.jpg,selected,0.75,126.0,,
3029_cam_image_array_.jpg,selected,0.7,116.5,,
3029_cam_image_array_.jpg,selected,0.65,107.0,20.5,63.75
3029_cam_image_array_.jpg,selected,0.6,96.5,21.5,59.0
3029_cam_image_array_.jpg,selected,0.55,87.0,25.5,56.25
3089_cam_image_array_.jpg,selected,0.9,134.0,,
3089_cam_image_array_.jpg,selected,0.85,127.5,,
3089_cam_image_array_.jpg,selected,0.8,121.5,,
3089_cam_image_array_.jpg,selected,0.75,115.5,16.0,65.75
3089_cam_image_array_.jpg,selected,0.7,108.0,16.5,62.25
3089_cam_image_array_.jpg,selected,0.65,100.5,20.5,60.5
3089_cam_image_array_.jpg,selected,0.6,92.5,27.0,59.75
3089_cam_image_array_.jpg,selected,0.55,85.0,26.0,55.5
3150_cam_image_array_.jpg,selected,0.9,146.0,10.0,78.0
3150_cam_image_array_.jpg,selected,0.85,139.5,12.5,76.0
3150_cam_image_array_.jpg,selected,0.8,133.0,16.5,74.75
3150_cam_image_array_.jpg,selected,0.75,126.0,18.0,72.0
3150_cam_image_array_.jpg,selected,0.7,118.5,,
3150_cam_image_array_.jpg,selected,0.65,110.5,29.0,69.75
3150_cam_image_array_.jpg,selected,0.6,121.5,30.5,76.0
3150_cam_image_array_.jpg,selected,0.55,119.0,,
3211_cam_image_array_.jpg,selected,0.9,145.0,,
3211_cam_image_array_.jpg,selected,0.85,139.0,3.0,71.0
3211_cam_image_array_.jpg,selected,0.8,133.0,,
3211_cam_image_array_.jpg,selected,0.75,125.5,22.0,73.75
3211_cam_image_array_.jpg,selected,0.7,117.5,24.0,70.75
3211_cam_image_array_.jpg,selected,0.65,109.5,27.5,68.5
3211_cam_image_array_.jpg,selected,0.6,101.0,,
3211_cam_image_array_.jpg,selected,0.55,92.5,30.5,61.5
3271_cam_image_array_.jpg,selected,0.9,146.0,,
3271_cam_image_array_.jpg,selected,0.85,140.0,9.0,74.5
3271_cam_image_array_.jpg,selected,0.8,133.0,,
3271_cam_image_array_.jpg,selected,0.75,125.0,,
3271_cam_image_array_.jpg,selected,0.7,116.5,21.5,69.0
3271_cam_image_array_.jpg,selected,0.65,107.5,23.5,65.5
3271_cam_image_array_.jpg,selected,0.6,98.0,26.0,62.0
3271_cam_image_array_.jpg,selected,0.55,89.0,27.5,58.25
3332_cam_image_array_.jpg,selected,0.9,149.5,17.5,83.5
3332_cam_image_array_.jpg,selected,0.85,144.0,18.5,81.25
