image,track_status,height_ratio,white_x,yellow_x,center_x
11173_cam_image_array_.jpg,selected,0.55,87.5,28.0,57.75
11185_cam_image_array_.jpg,selected,0.9,135.5,5.5,70.5
11185_cam_image_array_.jpg,selected,0.85,130.5,8.5,69.5
11185_cam_image_array_.jpg,selected,0.8,126.0,12.5,69.25
11185_cam_image_array_.jpg,selected,0.75,120.5,13.5,67.0
11185_cam_image_array_.jpg,selected,0.7,114.5,,
11185_cam_image_array_.jpg,selected,0.65,108.0,25.5,66.75
11185_cam_image_array_.jpg,selected,0.6,99.5,28.5,64.0
11185_cam_image_array_.jpg,selected,0.55,92.5,33.5,63.0
11210_cam_image_array_.jpg,selected,0.9,143.0,,
11210_cam_image_array_.jpg,selected,0.85,137.5,,
11210_cam_image_array_.jpg,selected,0.8,130.5,15.0,72.75
11210_cam_image_array_.jpg,selected,0.75,123.5,19.0,71.25
11210_cam_image_array_.jpg,selected,0.7,116.5,21.5,69.0
11210_cam_image_array_.jpg,selected,0.65,109.0,,
11210_cam_image_array_.jpg,selected,0.6,100.5,29.5,65.0
11210_cam_image_array_.jpg,selected,0.55,92.0,32.5,62.25
11286_cam_image_array_.jpg,selected,0.9,152.0,,
11286_cam_image_array_.jpg,selected,0.85,147.0,,
11286_cam_image_array_.jpg,selected,0.8,142.0,,
11286_cam_image_array_.jpg,selected,0.75,136.5,33.5,85.0
11286_cam_image_array_.jpg,selected,0.7,131.0,38.0,84.5
11286_cam_image_array_.jpg,selected,0.65,125.0,41.5,83.25
11286_cam_image_array_.jpg,selected,0.6,119.0,52.0,85.5
11286_cam_image_array_.jpg,selected,0.55,113.5,55.0,84.25
11339_cam_image_array_.jpg,selected,0.9,154.5,,
11339_cam_image_array_.jpg,selected,0.85,150.5,,
11339_cam_image_array_.jpg,selected,0.8,145.5,,
11339_cam_image_array_.jpg,selected,0.75,139.5,38.0,88.75
11339_cam_image_array_.jpg,selected,0.7,134.0,42.5,88.25
11339_cam_image_array_.jpg,selected,0.65,127.5,45.0,86.25
11339_cam_image_array_.jpg,selected,0.6,121.0,55.5,88.25
11339_cam_image_array_.jpg,selected,0.55,114.5,57.0,85.75
11382_cam_image_array_.jpg,selected,0.9,156.0,,
11382_cam_image_array_.jpg,selected,0.85,152.0,21.0,86.5
11382_cam_image_array_.jpg,selected,0.8,145.0,21.5,83.25
11382_cam_image_array_.jpg,selected,0.75,136.5,24.5,80.5
11382_cam_image_array_.jpg,selected,0.7,127.5,26.0,76.75
11382_cam_image_array_.jpg,selected,0.65,118.5,,
11382_cam_image_array_.jpg,selected,0.6,108.5,33.0,70.75
11382_cam_image_array_.jpg,selected,0.55,99.0,33.5,66.25
1139_cam_image_array_.jpg,selected,0.9,146.5,,
1139_cam_image_array_.jpg,selected,0.85,140.5,,
1139_cam_image_array_.jpg,selected,0.8,133.5,17.0,75.25
1139_cam_image_array_.jpg,selected,0.75,126.0,17.0,71.5
1139_cam_image_array_.jpg,selected,0.7,117.5,,
1139_cam_image_array_.jpg,selected,0.65,108.0,22.5,65.25
1139_cam_image_array_.jpg,selected,0.6,99.0,26.5,62.75
1139_cam_image_array_.jpg,selected,0.55,89.5,27.5,58.5
11404_cam_image_array_.jpg,selected,0.9,154.0,,
11404_cam_image_array_.jpg,selected,0.85,150.0,,
11404_cam_image_array_.jpg,selected,0.8,143.5,24.5,84.0
11404_cam_image_array_.jpg,selected,0.75,136.0,27.5,81.75
11404_cam_image_array_.jpg,selected,0.7,128.0,,
11404_cam_image_array_.jpg,selected,0.65,119.0,36.0,77.5
11404_cam_image_array_.jpg,selected,0.6,109.0,36.5,72.75
11404_cam_image_array_.jpg,selected,0.55,100.0,,
11463_cam_image_array_.jpg,selected,0.9,155.5,,
11463_cam_image_array_.jpg,selected,0.85,153.5,19.5,86.5
11463_cam_image_array_.jpg,selected,0.8,148.0,22.5,85.25
11463_cam_image_array_.jpg,selected,0.75,143.0,27.0,85.0
11463_cam_image_array_.jpg,selected,0.7,137.5,,
11463_cam_image_array_.jpg,selected,0.65,130.5,41.5,86.0
11463_cam_image_array_.jpg,selected,0.6,123.5,44.5,84.0
11463_cam_image_array_.jpg,selected,0.55,118.0,48.0,83.0
11522_cam_image_array_.jpg,selected,0.9,155.5,,
11522_cam_image_array_.jpg,selected,0.85,153.5,19.0,86.25
11522_cam_image_array_.jpg,selected,0.8,148.0,22.5,85.25
11522_cam_image_array_.jpg,selected,0.75,142.5,27.0,84.75
11522_cam_image_array_.jpg,selected,0.7,137.5,,
11522_cam_image_array_.jpg,selected,0.65,130.5,41.5,86.0
11522_cam_image_array_.jpg,selected,0.6,123.5,44.5,84.0
11522_cam_image_array_.jpg,selected,0.55,118.0,48.0,83.0
11542_cam_image_array_.jpg,selected,0.9,155.5,,
11542_cam_image_array_.jpg,selected,0.85,153.5,19.0,86.25
11542_cam_image_array_.jpg,selected,0.8,148.0,25.0,86.5
11542_cam_image_array_.jpg,selected,0.75,142.5,26.5,84.5
11542_cam_image_array_.jpg,selected,0.7,137.0,,
11542_cam_image_array_.jpg,selected,0.65,130.0,41.5,85.75
11542_cam_image_array_.jpg,selected,0.6,123.5,45.0,84.25
