frame,elapsed_s,capture_wait_ms,vision_and_pwm_ms,track_status,control_status,near_status,far_status,near_offset,far_y,far_x,preview_error,steering_pwm,pwm_sent
159,7.531381912000143,40.35415199905401,6.687831000817823,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
160,7.578646113999639,40.50209399974847,6.681812999886461,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
161,7.625661707999825,25.9761540000909,6.705664000037359,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
162,7.672591877999366,40.21906100024353,6.630758000028436,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
163,7.719559121998827,40.42055799982336,6.468834999395767,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
164,7.766923265999139,40.662461000465555,6.622961998800747,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
165,7.814011323000159,40.40637199977937,6.602482000744203,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
166,7.861136396999427,26.267612000083318,6.6848869992099935,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
167,7.908325487998809,40.39852100140706,6.7099599982611835,selected,ready,direct,direct,-0.0375,0.55,76.5,-0.046875,354,True
168,7.955276009999579,40.15928400076518,6.710960999043891,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
169,8.002318233999176,40.29604199968162,6.667276000371203,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
170,8.0494704369994,40.416909998384654,6.655961000433308,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
171,8.096682454999609,26.098930000443943,6.626091999351047,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
172,8.143794232999426,40.44253899883188,6.588315000044531,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
173,8.19098943499921,40.469075000146404,6.646832000114955,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
174,8.23800625200056,40.360299999520066,6.577203001143062,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
175,8.285157418999006,40.442871999402996,6.628721999732079,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
176,8.332270418999542,26.343665998865617,6.60701800006791,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
177,8.379485714000111,40.270523000799585,6.684128000415512,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
178,8.426492974998837,40.32579999875452,6.600017999517149,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
179,8.475009396999667,41.85888599931786,6.577852000191342,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
180,8.520570589998897,38.93100899949786,6.5505009988555685,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
181,8.567817531999026,26.277982000465272,6.616498998482712,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
182,8.615029771999616,40.47783399983018,6.654314000115846,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
