image,height_ratio,yellow_candidates,white_candidates,status,center_x
2908_cam_image_array_.jpg,0.6,[60.0],[0.5],no_pair,
2908_cam_image_array_.jpg,0.7,"[46.0, 158.0]",[146.0],unique_pair,96.0
2908_cam_image_array_.jpg,0.8,[40.0],"[36.0, 149.5]",unique_pair,94.75
2908_cam_image_array_.jpg,0.9,[],[157.0],no_pair,
2968_cam_image_array_.jpg,0.6,[55.5],"[0.5, 4.0]",no_pair,
2968_cam_image_array_.jpg,0.7,[44.0],[41.5],no_pair,
2968_cam_image_array_.jpg,0.8,[36.0],[148.5],unique_pair,92.25
2968_cam_image_array_.jpg,0.9,[],[156.5],no_pair,
3029_cam_image_array_.jpg,0.6,[21.5],"[96.5, 148.0]",ambiguous,
3029_cam_image_array_.jpg,0.7,[],"[116.5, 156.0]",no_pair,
3029_cam_image_array_.jpg,0.8,"[12.0, 158.5]",[134.5],unique_pair,73.25
3029_cam_image_array_.jpg,0.9,[7.0],[150.5],no_pair,
3089_cam_image_array_.jpg,0.6,[27.0],"[92.5, 147.5]",ambiguous,
3089_cam_image_array_.jpg,0.7,[16.5],[108.0],unique_pair,62.25
3089_cam_image_array_.jpg,0.8,[],[121.5],no_pair,
3089_cam_image_array_.jpg,0.9,[],[134.0],no_pair,
3150_cam_image_array_.jpg,0.6,[30.5],"[102.0, 121.5]",ambiguous,
3150_cam_image_array_.jpg,0.7,[],"[118.5, 143.5]",no_pair,
3150_cam_image_array_.jpg,0.8,[16.5],"[133.0, 153.0]",unique_pair,74.75
3150_cam_image_array_.jpg,0.9,[10.0],[146.0],unique_pair,78.0
3211_cam_image_array_.jpg,0.6,[],[101.0],no_pair,
3211_cam_image_array_.jpg,0.7,[24.0],[117.5],unique_pair,70.75
3211_cam_image_array_.jpg,0.8,[],[133.0],no_pair,
3211_cam_image_array_.jpg,0.9,[5.5],[145.0],no_pair,
3271_cam_image_array_.jpg,0.6,[26.0],"[98.0, 157.0]",ambiguous,
3271_cam_image_array_.jpg,0.7,"[21.5, 150.0]","[116.5, 156.5]",ambiguous,
3271_cam_image_array_.jpg,0.8,[],[133.0],no_pair,
3271_cam_image_array_.jpg,0.9,[8.0],[146.0],no_pair,
3332_cam_image_array_.jpg,0.6,[42.5],[],no_pair,
3332_cam_image_array_.jpg,0.7,[],"[125.5, 147.5]",no_pair,
