run,image,old_ready,new_ready,old_pwm,new_pwm,old_near,new_near,new_far,pair_status,points
133705,000595_raw.jpg,ready,ready,348,348,92.5,92.5,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000617_raw.jpg,ready,ready,348,348,92.5,92.5,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133915,000001_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.75), (0.7, 66.25), (0.75, 67.5), (0.85, 63.0), (0.9, 64.0)]"
133915,000023_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.25), (0.75, 67.25), (0.85, 63.0), (0.9, 64.25)]"
133915,000045_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.75), (0.7, 66.0), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000067_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.5), (0.75, 67.5), (0.85, 63.0), (0.9, 64.0)]"
133915,000089_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.5), (0.7, 66.5), (0.75, 67.25), (0.85, 63.0), (0.9, 64.25)]"
133915,000111_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 71.25), (0.65, 66.75), (0.7, 66.25), (0.75, 67.25), (0.85, 63.0), (0.9, 64.25)]"
133915,000133_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.0), (0.75, 67.5), (0.85, 63.0), (0.9, 64.25)]"
133915,000155_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.75), (0.7, 66.0), (0.75, 67.5), (0.85, 63.0), (0.9, 64.0)]"
133915,000177_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 70.5), (0.65, 66.5), (0.7, 66.0), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000199_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.25), (0.75, 67.5), (0.85, 63.0), (0.9, 64.0)]"
133915,000221_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.25), (0.75, 67.5), (0.85, 63.0), (0.9, 64.0)]"
133915,000243_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.25), (0.75, 67.5), (0.85, 63.0), (0.9, 64.0)]"
133915,000265_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.75), (0.7, 66.0), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000287_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.5), (0.7, 66.25), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000309_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.5), (0.7, 66.0), (0.75, 67.25), (0.85, 63.0), (0.9, 64.25)]"
133915,000331_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.75), (0.7, 66.25), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000353_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.0), (0.75, 67.5), (0.85, 63.0), (0.9, 64.0)]"
133915,000375_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.25), (0.75, 67.5), (0.85, 63.0), (0.9, 64.25)]"
133915,000397_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.0), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000419_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.75), (0.7, 66.25), (0.75, 67.5), (0.85, 63.0), (0.9, 64.0)]"
133915,000441_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.75), (0.7, 66.0), (0.75, 67.25), (0.85, 63.0), (0.9, 64.25)]"
133915,000463_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.5), (0.7, 66.25), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000485_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.25), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000507_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.5), (0.7, 66.0), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000529_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.5), (0.7, 66.5), (0.75, 67.25), (0.85, 63.0), (0.9, 64.25)]"
133915,000551_raw.jpg,ready,ready,358,358,66.75,66.75,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.75), (0.7, 66.25), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000573_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.5), (0.7, 66.25), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
133915,000595_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 71.0), (0.65, 66.5), (0.7, 66.25), (0.75, 67.5), (0.85, 63.0), (0.9, 64.0)]"
